127.0.0.1 - - [29/Jul/2023:22:31:38 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [29/Jul/2023:22:31:39 +0530] "GET /Time_management_of_faculity/home.html HTTP/1.1" 200 2946
0:0:0:0:0:0:0:1 - - [29/Jul/2023:22:31:39 +0530] "GET /Time_management_of_faculity/home.css HTTP/1.1" 200 828
0:0:0:0:0:0:0:1 - - [29/Jul/2023:22:31:47 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [29/Jul/2023:22:35:15 +0530] "GET /Time_management_of_faculity/home.html HTTP/1.1" 200 3046
0:0:0:0:0:0:0:1 - - [29/Jul/2023:22:35:15 +0530] "GET /Time_management_of_faculity/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:22:35:16 +0530] "GET /Time_management_of_faculity/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:22:37:13 +0530] "GET /Time_management_of_faculity/home.html HTTP/1.1" 200 3008
0:0:0:0:0:0:0:1 - - [29/Jul/2023:22:37:13 +0530] "GET /Time_management_of_faculity/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:22:39:21 +0530] "GET /Time_management_of_faculity/home.html HTTP/1.1" 200 3105
0:0:0:0:0:0:0:1 - - [29/Jul/2023:22:39:21 +0530] "GET /Time_management_of_faculity/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:22:40:38 +0530] "GET /Time_management_of_faculity/home.html HTTP/1.1" 200 3192
0:0:0:0:0:0:0:1 - - [29/Jul/2023:22:40:38 +0530] "GET /Time_management_of_faculity/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:22:41:14 +0530] "GET /Time_management_of_faculity/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:22:41:16 +0530] "GET /Time_management_of_faculity/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:22:41:17 +0530] "GET /Time_management_of_faculity/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:22:43:21 +0530] "GET /Time_management_of_faculity/home.html HTTP/1.1" 200 3194
0:0:0:0:0:0:0:1 - - [29/Jul/2023:22:43:21 +0530] "GET /Time_management_of_faculity/home.css HTTP/1.1" 200 830
0:0:0:0:0:0:0:1 - - [29/Jul/2023:22:43:24 +0530] "GET /Time_management_of_faculity/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:22:43:36 +0530] "GET /Time_management_of_faculity/home.html HTTP/1.1" 200 3196
0:0:0:0:0:0:0:1 - - [29/Jul/2023:22:43:36 +0530] "GET /Time_management_of_faculity/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:22:44:26 +0530] "GET /Time_management_of_faculity/home.html HTTP/1.1" 200 3218
0:0:0:0:0:0:0:1 - - [29/Jul/2023:22:44:26 +0530] "GET /Time_management_of_faculity/home.css HTTP/1.1" 304 -
