127.0.0.1 - - [13/Sep/2023:06:42:34 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/Sep/2023:06:42:36 +0530] "GET /Time_Table_management/ HTTP/1.1" 200 5373
0:0:0:0:0:0:0:1 - - [13/Sep/2023:06:42:37 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/Sep/2023:06:42:39 +0530] "GET /Time_Table_management/login.jsp HTTP/1.1" 200 8501
0:0:0:0:0:0:0:1 - - [13/Sep/2023:06:42:39 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [13/Sep/2023:06:42:39 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [13/Sep/2023:06:42:40 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [13/Sep/2023:06:43:24 +0530] "POST /Time_Table_management/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:06:43:24 +0530] "GET /Time_Table_management/Faculty_page.jsp HTTP/1.1" 200 7643
0:0:0:0:0:0:0:1 - - [13/Sep/2023:06:43:24 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [13/Sep/2023:06:43:24 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [13/Sep/2023:06:43:24 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [13/Sep/2023:06:43:28 +0530] "GET /Time_Table_management/display_data_in_drop_dawn.jsp HTTP/1.1" 200 6916
0:0:0:0:0:0:0:1 - - [13/Sep/2023:06:45:59 +0530] "GET /Time_Table_management/Faculty_page.jsp HTTP/1.1" 200 7643
0:0:0:0:0:0:0:1 - - [13/Sep/2023:06:45:59 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [13/Sep/2023:06:45:59 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [13/Sep/2023:06:45:59 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [13/Sep/2023:06:45:59 +0530] "GET /Time_Table_management/Faculty_page.jsp HTTP/1.1" 200 7643
0:0:0:0:0:0:0:1 - - [13/Sep/2023:06:45:59 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [13/Sep/2023:06:45:59 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [13/Sep/2023:06:45:59 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [13/Sep/2023:06:46:01 +0530] "GET /Time_Table_management/display_data_in_drop_dawn.jsp HTTP/1.1" 200 5292
0:0:0:0:0:0:0:1 - - [13/Sep/2023:06:46:41 +0530] "GET /Time_Table_management/display_data_in_drop_dawn.jsp HTTP/1.1" 200 4471
