127.0.0.1 - - [02/Oct/2023:00:51:05 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/Oct/2023:00:51:08 +0530] "GET /Time_Table_management/ HTTP/1.1" 200 5373
0:0:0:0:0:0:0:1 - - [02/Oct/2023:00:51:10 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [02/Oct/2023:00:51:14 +0530] "GET /Time_Table_management/login.jsp HTTP/1.1" 200 8512
0:0:0:0:0:0:0:1 - - [02/Oct/2023:00:51:14 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [02/Oct/2023:00:51:14 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [02/Oct/2023:00:51:14 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [02/Oct/2023:00:51:57 +0530] "POST /Time_Table_management/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Oct/2023:00:51:57 +0530] "GET /Time_Table_management/Faculty_page.jsp HTTP/1.1" 200 8294
0:0:0:0:0:0:0:1 - - [02/Oct/2023:00:51:57 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [02/Oct/2023:00:51:57 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [02/Oct/2023:00:51:57 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [02/Oct/2023:00:52:01 +0530] "GET /Time_Table_management/time_table_admin.jsp HTTP/1.1" 200 4311
0:0:0:0:0:0:0:1 - - [02/Oct/2023:00:52:58 +0530] "GET /Time_Table_management/time_table_admin.jsp HTTP/1.1" 200 4313
0:0:0:0:0:0:0:1 - - [02/Oct/2023:00:53:23 +0530] "GET /Time_Table_management/time_table_admin.jsp HTTP/1.1" 200 4295
0:0:0:0:0:0:0:1 - - [02/Oct/2023:00:53:27 +0530] "GET /Time_Table_management/time_table_admin.jsp HTTP/1.1" 200 4295
0:0:0:0:0:0:0:1 - - [02/Oct/2023:00:55:41 +0530] "GET /Time_Table_management/time_table_admin.jsp HTTP/1.1" 200 4456
0:0:0:0:0:0:0:1 - - [02/Oct/2023:00:55:43 +0530] "GET /Time_Table_management/time_table_admin.jsp HTTP/1.1" 200 4456
0:0:0:0:0:0:0:1 - - [02/Oct/2023:00:55:45 +0530] "GET /Time_Table_management/time_table_admin.jsp HTTP/1.1" 200 4456
0:0:0:0:0:0:0:1 - - [02/Oct/2023:00:55:45 +0530] "GET /Time_Table_management/time_table_admin.jsp HTTP/1.1" 200 4456
0:0:0:0:0:0:0:1 - - [02/Oct/2023:00:55:45 +0530] "GET /Time_Table_management/time_table_admin.jsp HTTP/1.1" 200 4456
0:0:0:0:0:0:0:1 - - [02/Oct/2023:00:55:46 +0530] "GET /Time_Table_management/time_table_admin.jsp HTTP/1.1" 200 4456
0:0:0:0:0:0:0:1 - - [02/Oct/2023:00:55:46 +0530] "GET /Time_Table_management/time_table_admin.jsp HTTP/1.1" 200 4456
0:0:0:0:0:0:0:1 - - [02/Oct/2023:00:56:31 +0530] "GET /Time_Table_management/time_table_admin.jsp HTTP/1.1" 200 4456
0:0:0:0:0:0:0:1 - - [02/Oct/2023:00:56:53 +0530] "GET /Time_Table_management/time_table_admin.jsp HTTP/1.1" 200 4456
0:0:0:0:0:0:0:1 - - [02/Oct/2023:00:56:54 +0530] "GET /Time_Table_management/time_table_admin.jsp HTTP/1.1" 200 4456
0:0:0:0:0:0:0:1 - - [02/Oct/2023:00:56:54 +0530] "GET /Time_Table_management/time_table_admin.jsp HTTP/1.1" 200 4456
0:0:0:0:0:0:0:1 - - [02/Oct/2023:00:56:55 +0530] "GET /Time_Table_management/time_table_admin.jsp HTTP/1.1" 200 4456
0:0:0:0:0:0:0:1 - - [02/Oct/2023:00:56:55 +0530] "GET /Time_Table_management/time_table_admin.jsp HTTP/1.1" 200 4456
0:0:0:0:0:0:0:1 - - [02/Oct/2023:00:56:55 +0530] "GET /Time_Table_management/time_table_admin.jsp HTTP/1.1" 200 4456
0:0:0:0:0:0:0:1 - - [02/Oct/2023:00:56:55 +0530] "GET /Time_Table_management/time_table_admin.jsp HTTP/1.1" 200 4456
