127.0.0.1 - - [08/Mar/2024:10:06:23 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Mar/2024:10:06:24 +0530] "GET /Youtube_project/ HTTP/1.1" 200 8574
0:0:0:0:0:0:0:1 - - [08/Mar/2024:10:06:24 +0530] "GET /Youtube_project/... HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [08/Mar/2024:10:06:24 +0530] "GET /Youtube_project/css/NewFile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2024:10:06:24 +0530] "GET /Youtube_project/js/myjs.js HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [08/Mar/2024:10:07:24 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [08/Mar/2024:10:07:26 +0530] "GET /Youtube_project/Login_jsp.jsp HTTP/1.1" 200 6324
0:0:0:0:0:0:0:1 - - [08/Mar/2024:10:07:57 +0530] "POST /Youtube_project/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2024:10:07:58 +0530] "GET /Youtube_project/profile.jsp HTTP/1.1" 200 17964
0:0:0:0:0:0:0:1 - - [08/Mar/2024:10:07:58 +0530] "GET /Youtube_project/pics/DSC_0053.JPG HTTP/1.1" 200 12423607
0:0:0:0:0:0:0:1 - - [08/Mar/2024:10:08:54 +0530] "POST /Youtube_project/AddPostServlet HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [08/Mar/2024:10:08:54 +0530] "POST /Youtube_project/AddPostServlet HTTP/1.1" 500 11
0:0:0:0:0:0:0:1 - - [08/Mar/2024:10:08:54 +0530] "POST /Youtube_project/AddPostServlet HTTP/1.1" 500 11
0:0:0:0:0:0:0:1 - - [08/Mar/2024:10:36:56 +0530] "GET /Youtube_project/profile.jsp HTTP/1.1" 200 18847
0:0:0:0:0:0:0:1 - - [08/Mar/2024:10:37:01 +0530] "GET /Youtube_project/profile.jsp HTTP/1.1" 200 18847
0:0:0:0:0:0:0:1 - - [08/Mar/2024:10:40:26 +0530] "GET /Youtube_project/profile.jsp HTTP/1.1" 200 18575
0:0:0:0:0:0:0:1 - - [08/Mar/2024:10:40:58 +0530] "GET /Youtube_project/profile.jsp HTTP/1.1" 200 18580
0:0:0:0:0:0:0:1 - - [08/Mar/2024:11:18:27 +0530] "GET /Youtube_project/profile.jsp HTTP/1.1" 500 2692
0:0:0:0:0:0:0:1 - - [08/Mar/2024:11:24:42 +0530] "GET /Youtube_project/profile.jsp HTTP/1.1" 500 2281
0:0:0:0:0:0:0:1 - - [08/Mar/2024:11:24:55 +0530] "GET /Youtube_project/Login_jsp.jsp HTTP/1.1" 200 6324
0:0:0:0:0:0:0:1 - - [08/Mar/2024:11:25:16 +0530] "POST /Youtube_project/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2024:11:25:16 +0530] "GET /Youtube_project/profile.jsp HTTP/1.1" 500 2281
0:0:0:0:0:0:0:1 - - [08/Mar/2024:11:26:13 +0530] "GET /Youtube_project/profile.jsp HTTP/1.1" 200 19342
0:0:0:0:0:0:0:1 - - [08/Mar/2024:11:32:24 +0530] "GET /Youtube_project/index.jsp HTTP/1.1" 200 8574
0:0:0:0:0:0:0:1 - - [08/Mar/2024:11:32:24 +0530] "GET /Youtube_project/... HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [08/Mar/2024:11:32:33 +0530] "GET /Youtube_project/profile.jsp HTTP/1.1" 200 19342
0:0:0:0:0:0:0:1 - - [08/Mar/2024:11:32:37 +0530] "GET /Youtube_project/LogOutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2024:11:32:37 +0530] "GET /Youtube_project/Login_jsp.jsp HTTP/1.1" 200 6524
0:0:0:0:0:0:0:1 - - [08/Mar/2024:11:32:44 +0530] "GET /Youtube_project/profile.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2024:11:32:44 +0530] "GET /Youtube_project/Login_jsp.jsp HTTP/1.1" 200 6324
